,Country_Region,Confirmed,Deaths,Active,Deaths_per_100,iso3,Population,Lat,Long,Continent,Cases_per_million,Confirmed_last_week,Deaths_last_week,New_cases_last_week,New_deaths_last_week,Confirmed_last_month,Deaths_last_month,New_cases_last_month,New_deaths_last_month
60,Fiji,64524.0,862.0,0.0,1.3359370156840866,FJI,896444.0,-17.7134,178.065,Oceania,71977.72532361196,64509.0,862.0,15.0,0.0,64376.0,834.0,148.0,28.0
61,Finland,1000472.0,3638.0,0.0,0.36362836741058224,FIN,5540718.0,61.92411,25.748151,Europe,180567.21168628326,949583.0,3517.0,50889.0,121.0,844713.0,2985.0,155759.0,653.0
62,France,28435100.0,146057.0,0.0,0.5136503828015375,FRA,65249843.0,46.2276,2.2137,Europe,435788.02174282627,27874269.0,145159.0,560831.0,898.0,25106739.0,142664.0,3328361.0,3393.0
63,Gabon,47597.0,303.0,0.0,0.6365947433661785,GAB,2225728.0,-0.8037,11.6094,Africa,21384.91316099721,47594.0,303.0,3.0,0.0,47584.0,303.0,13.0,0.0
64,Gambia,11995.0,365.0,0.0,3.042934556065027,GMB,2416664.0,13.4432,-15.3101,Africa,4963.453752776555,11994.0,365.0,1.0,0.0,11986.0,365.0,9.0,0.0
65,Georgia,1654163.0,16797.0,0.0,1.015438019106944,GEO,3989175.0,42.3154,43.3569,Asia,414662.93155853025,1652929.0,16789.0,1234.0,8.0,1645959.0,16704.0,8204.0,93.0
66,Germany,24180512.0,134179.0,0.0,0.5549055371532249,DEU,83155031.0,51.165691,10.451526,Europe,290788.32283761643,23416663.0,132942.0,763849.0,1237.0,19492672.0,127599.0,4687840.0,6580.0
67,Ghana,161124.0,1445.0,0.0,0.8968248057396787,GHA,31072945.0,7.9465,-1.0232,Africa,5185.34693122908,161101.0,1445.0,23.0,0.0,160925.0,1445.0,199.0,0.0
68,Greece,3277557.0,28867.0,0.0,0.8807474591593678,GRC,10423056.0,39.0742,21.8243,Europe,314452.594325503,3232496.0,28537.0,45061.0,330.0,2916892.0,27216.0,360665.0,1651.0
69,Grenada,14428.0,220.0,0.0,1.524812863875797,GRD,112519.0,12.1165,-61.679,North America,128227.23273402714,14165.0,219.0,263.0,1.0,13982.0,218.0,446.0,2.0
70,Guatemala,842369.0,17514.0,0.0,2.0791363404873633,GTM,17915567.0,15.7835,-90.2308,North America,47018.830048750344,837492.0,17427.0,4877.0,87.0,824159.0,17278.0,18210.0,236.0
